Q_TotalDuration,Sc1_text1,Sc1_Quiz1,Sc1_Quiz2,Sc1_Quiz3,Sc1_text2,Sc1_regret,sc1_text3,sc1_socnorms2,sc1_socnorms1,sc1_text4,sc1_combinednorms,Q53,Sc2_text,Sc2_quiz1,Sc2_quiz2,Sc2_quiz3,Sc2_text2,Sc2_regret,Sc2_text3,Sc2_random_1,Sc2_random_2,Sc2_lucky,Q54,Sc3_C1_text,Sc3_C1_quiz1,Sc3_C1_quiz2,Sc3_C1_quiz3,sc3_c1_text2,sc3_c1_compensation,sc3_c1_text3,sc3_c1_regret,Sc3_C2_text,Sc3_C2_quiz1,Sc3_C2_quiz2,Sc3_C2_quiz3,sc3_c2_text2,sc3_c2_compensation,sc3_c2_text3,sc3_c2_regret,Sc3_C3_text,Sc3_C3_quiz1,Sc3_C3_quiz2,Sc3_C3_quiz3,sc3_c3_text2,sc3_c3_compensation,sc3_c3_text3,sc3_c3_regret,age,gender,serious,engunder
164,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,6,6,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,23,1,5,7
212,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,1,1, , , , , , , , ,1,1,2,1,1,2,1,4, , , , , , , , ,32,2,5,7
333,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,71,2,5,7
345,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,6,6,1,1, , , , , , , , ,1,1,2,1,1,6,1,3, , , , , , , , ,54,1,5,7
437,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,11,1,4,32,1,5,7
125,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,22,2,5,7
351,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,3,51,1,5,7
228,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,5,1,4, , , , , , , , ,35,1,5,7
207,1,1,2,4,1,1,1,1,2,1,2,1,1,1,2,4,1,1,1,6,6,1,1,1,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , ,37,2,4,7
266,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,8,1,2,33,1,5,7
150,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,4,4,2,1, , , , , , , , ,1,1,2,1,1,11,1,4, , , , , , , , ,26,1,5,7
285,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,1,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,32,1,5,7
311,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,3, , , , , , , , ,35,1,5,7
143,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,23,2,5,7
0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
259,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,56,56,1,1,1,1,1,1,1,6,1,1, , , , , , , , , , , , , , , , ,34,1,5,7
203,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,8,1,4,25,2,5,7
284,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,1,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,32,2,5,7
431,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,51,2,5,7
411,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,4,6,2,1,1,1,1,1,1,6,1,2, , , , , , , , , , , , , , , , ,54,2,5,7
129,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,56,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,4,1,3,29,1,5,7
157,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,3,2,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,38,1,5,7
155,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,4,1,2,1,7,7,2,1, , , , , , , , ,1,1,2,1,1,6,1,2, , , , , , , , ,35,1,5,7
300,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,7,7,2,1,1,1,1,1,1,8,1,3, , , , , , , , , , , , , , , , ,31,1,5,7
437,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,45,1,5,7
156,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,36,2,5,7
498,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,6,1,3, , , , , , , , , , , , , , , , ,44,2,5,7
610,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,56,3,2,1, , , , , , , , ,1,1,2,1,1,9,1,4, , , , , , , , ,30,1,5,7
229,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,7,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,43,2,5,7
207,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,4,4,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,8,1,4,52,2,5,7
191,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,7,7,1,1, , , , , , , , ,1,1,2,1,1,2,1,2, , , , , , , , ,29,2,5,7
292,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,56,2,1,1,1,1,1,1,6,1,0, , , , , , , , , , , , , , , , ,32,1,5,7
302,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,1,1, , , , , , , , ,1,1,2,1,1,3,1,2, , , , , , , , ,40,1,5,7
342,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,11,1,4,34,2,5,7
313,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,7,7,1,1,1,1,1,1,1,1,1,4, , , , , , , , , , , , , , , , ,28,1,5,7
225,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,4,1,2,1,7,7,2,1,1,1,1,1,1,6,1,1, , , , , , , , , , , , , , , , ,29,1,5,7
237,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,1,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,46,2,5,7
196,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,6,1,3, , , , , , , , , , , , , , , , ,42,1,5,7
184,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,7,7,1,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,45,1,5,7
297,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,3,45,1,5,7
328,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,4,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,61,1,5,7
332,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,56,1,5,7
357,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1,1,1,1,1,1,6,1,2, , , , , , , , , , , , , , , , ,38,1,5,7
405,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,1,1,4,44,1,5,7
272,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,4,1,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,25,1,5,7
329,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,7,1,3,54,1,5,7
160,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,11,1,1,31,1,5,7
247,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,56,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,8,1,4,31,2,5,5
274,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,34,1,5,7
268,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,4,1,2,1,7,6,1,1,1,1,1,1,1,9,1,2, , , , , , , , , , , , , , , , ,29,1,5,7
215,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,4,1,2,1,56,56,1,1, , , , , , , , ,1,1,2,1,1,11,1,4, , , , , , , , ,29,1,5,7
461,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,1,1,1,1,1,1,1,2,1,3, , , , , , , , , , , , , , , , ,36,1,5,7
403,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,58,2,5,7
502,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,56,56,2,1, , , , , , , , ,1,1,2,1,1,11,1,4, , , , , , , , ,59,2,5,7
212,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,32,2,5,7
181,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,1,7,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,42,2,5,7
191,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,65,2,5,7
129,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,1,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,99,1,5,7
171,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,56,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,22,2,5,7
309,1,1,2,4,1,2,1,1,2,1,1,1,1,1,2,4,1,1,1,4,4,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,0,35,1,5,7
262,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,11,1,4, , , , , , , , , , , , , , , , ,35,2,5,7
450,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,3,34,2,5,7
344,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,6,1,2, , , , , , , , , , , , , , , , ,41,2,5,7
514,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,7,7,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,64,1,5,7
192,1,1,2,4,1,2,1,1,2,1,2,1,1,1,2,4,1,1,1,6,4,2,1, , , , , , , , ,1,1,2,1,1,4,1,3, , , , , , , , ,26,2,5,5
212,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,56,1,1,1,1,1,1,1,6,1,3, , , , , , , , , , , , , , , , ,23,2,5,7
250,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,7,7,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,2,1,4,28,1,5,7
261,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,37,2,5,7
257,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,11,1,4,55,2,5,7
353,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,7,7,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,43,2,5,7
411,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,9,1,4, , , , , , , , , , , , , , , , ,36,1,5,7
307,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,29,2,5,7
346,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,3,1,1,1,1,1,1,1,6,1,3, , , , , , , , , , , , , , , , ,28,1,5,7
170,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,6,1,1, , , , , , , , , , , , , , , , ,99,1,5,7
261,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,4,4,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,2,27,1,2,4
303,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,4, , , , , , , , ,50,1,5,7
220,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,6,6,1,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,6,1,4,30,1,5,7
381,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,9,1,4, , , , , , , , ,36,2,5,7
403,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , , , , , , , , , ,1,1,2,1,1,9,1,4,41,2,5,7
363,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,7,7,2,1, , , , , , , , ,1,1,2,1,1,11,1,4, , , , , , , , ,24,2,5,7
482,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1,1,1,1,1,1,11,1,2, , , , , , , , , , , , , , , , ,50,2,5,7
181,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,7,2,1,1,1,1,1,1,6,1,4, , , , , , , , , , , , , , , , ,48,2,5,7
265,1,1,2,4,1,1,1,1,2,1,1,1,1,1,2,4,1,2,1,6,6,2,1, , , , , , , , ,1,1,2,1,1,6,1,2, , , , , , , , ,32,1,5,7
